id,range_from,range_to,amount_tax,tax_table_id:id
tax_table_0_001,0,750000,0,os_hr_payroll_reports.tax_table_0
tax_table_0_002,750001,750500,20,os_hr_payroll_reports.tax_table_0
tax_table_0_003,750501,751000,40,os_hr_payroll_reports.tax_table_0
tax_table_0_004,751001,751500,60,os_hr_payroll_reports.tax_table_0
tax_table_0_005,751501,752000,80,os_hr_payroll_reports.tax_table_0
tax_table_0_006,752001,752500,100,os_hr_payroll_reports.tax_table_0
tax_table_0_007,752501,753000,120,os_hr_payroll_reports.tax_table_0
tax_table_0_008,753001,753500,140,os_hr_payroll_reports.tax_table_0
tax_table_0_009,753501,754000,160,os_hr_payroll_reports.tax_table_0
tax_table_0_010,754001,754500,180,os_hr_payroll_reports.tax_table_0
tax_table_0_011,754501,755000,200,os_hr_payroll_reports.tax_table_0
tax_table_0_012,755001,755500,220,os_hr_payroll_reports.tax_table_0
tax_table_0_013,755501,756000,240,os_hr_payroll_reports.tax_table_0
tax_table_0_014,756001,756500,260,os_hr_payroll_reports.tax_table_0
tax_table_0_015,756501,757000,280,os_hr_payroll_reports.tax_table_0
tax_table_0_016,757001,757500,300,os_hr_payroll_reports.tax_table_0
tax_table_0_017,757501,758000,320,os_hr_payroll_reports.tax_table_0
tax_table_0_018,758001,758500,340,os_hr_payroll_reports.tax_table_0
tax_table_0_019,758501,759000,360,os_hr_payroll_reports.tax_table_0
tax_table_0_020,759001,759500,380,os_hr_payroll_reports.tax_table_0
tax_table_0_021,759501,760000,400,os_hr_payroll_reports.tax_table_0
tax_table_0_022,760001,760500,420,os_hr_payroll_reports.tax_table_0
tax_table_0_023,760501,761000,440,os_hr_payroll_reports.tax_table_0
tax_table_0_024,761001,761500,460,os_hr_payroll_reports.tax_table_0
tax_table_0_025,761501,762000,480,os_hr_payroll_reports.tax_table_0
tax_table_0_026,762001,762500,500,os_hr_payroll_reports.tax_table_0
tax_table_0_027,762501,763000,520,os_hr_payroll_reports.tax_table_0
tax_table_0_028,763001,763500,540,os_hr_payroll_reports.tax_table_0
tax_table_0_029,763501,764000,560,os_hr_payroll_reports.tax_table_0
tax_table_0_030,764001,764500,580,os_hr_payroll_reports.tax_table_0
tax_table_0_031,764501,765000,600,os_hr_payroll_reports.tax_table_0
tax_table_0_032,765001,765500,620,os_hr_payroll_reports.tax_table_0
tax_table_0_033,765501,766000,640,os_hr_payroll_reports.tax_table_0
tax_table_0_034,766001,766500,660,os_hr_payroll_reports.tax_table_0
tax_table_0_035,766501,767000,680,os_hr_payroll_reports.tax_table_0
tax_table_0_036,767001,767500,700,os_hr_payroll_reports.tax_table_0
tax_table_0_037,767501,768000,720,os_hr_payroll_reports.tax_table_0
tax_table_0_038,768001,768500,740,os_hr_payroll_reports.tax_table_0
tax_table_0_039,768501,769000,760,os_hr_payroll_reports.tax_table_0
tax_table_0_040,769001,769500,780,os_hr_payroll_reports.tax_table_0
tax_table_0_041,769501,770000,800,os_hr_payroll_reports.tax_table_0
tax_table_0_042,770001,770500,820,os_hr_payroll_reports.tax_table_0
tax_table_0_043,770501,771000,840,os_hr_payroll_reports.tax_table_0
tax_table_0_044,771001,771500,860,os_hr_payroll_reports.tax_table_0
tax_table_0_045,771501,772000,880,os_hr_payroll_reports.tax_table_0
tax_table_0_046,772001,772500,900,os_hr_payroll_reports.tax_table_0
tax_table_0_047,772501,773000,920,os_hr_payroll_reports.tax_table_0
tax_table_0_048,773001,773500,940,os_hr_payroll_reports.tax_table_0
tax_table_0_049,773501,774000,960,os_hr_payroll_reports.tax_table_0
tax_table_0_050,774001,774500,980,os_hr_payroll_reports.tax_table_0
tax_table_0_051,774501,775000,1000,os_hr_payroll_reports.tax_table_0
tax_table_0_052,775001,775500,1020,os_hr_payroll_reports.tax_table_0
tax_table_0_053,775501,776000,1040,os_hr_payroll_reports.tax_table_0
tax_table_0_054,776001,776500,1060,os_hr_payroll_reports.tax_table_0
tax_table_0_055,776501,777000,1080,os_hr_payroll_reports.tax_table_0
tax_table_0_056,777001,777500,1100,os_hr_payroll_reports.tax_table_0
tax_table_0_057,777501,778000,1120,os_hr_payroll_reports.tax_table_0
tax_table_0_058,778001,778500,1140,os_hr_payroll_reports.tax_table_0
tax_table_0_059,778501,779000,1160,os_hr_payroll_reports.tax_table_0
tax_table_0_060,779001,779500,1180,os_hr_payroll_reports.tax_table_0
tax_table_0_061,779501,780000,1200,os_hr_payroll_reports.tax_table_0
tax_table_0_062,780001,780500,1220,os_hr_payroll_reports.tax_table_0
tax_table_0_063,780501,781000,1240,os_hr_payroll_reports.tax_table_0
tax_table_0_064,781001,781500,1260,os_hr_payroll_reports.tax_table_0
tax_table_0_065,781501,782000,1280,os_hr_payroll_reports.tax_table_0
tax_table_0_066,782001,782500,1300,os_hr_payroll_reports.tax_table_0
tax_table_0_067,782501,783000,1320,os_hr_payroll_reports.tax_table_0
tax_table_0_068,783001,783500,1340,os_hr_payroll_reports.tax_table_0
tax_table_0_069,783501,784000,1360,os_hr_payroll_reports.tax_table_0
tax_table_0_070,784001,784500,1380,os_hr_payroll_reports.tax_table_0
tax_table_0_071,784501,785000,1400,os_hr_payroll_reports.tax_table_0
tax_table_0_072,785001,785500,1420,os_hr_payroll_reports.tax_table_0
tax_table_0_073,785501,786000,1440,os_hr_payroll_reports.tax_table_0
tax_table_0_074,786001,786500,1460,os_hr_payroll_reports.tax_table_0
tax_table_0_075,786501,787000,1480,os_hr_payroll_reports.tax_table_0
tax_table_0_076,787001,787500,1500,os_hr_payroll_reports.tax_table_0
tax_table_0_077,787501,788000,1520,os_hr_payroll_reports.tax_table_0
tax_table_0_078,788001,788500,1540,os_hr_payroll_reports.tax_table_0
tax_table_0_079,788501,789000,1560,os_hr_payroll_reports.tax_table_0
tax_table_0_080,789001,789500,1580,os_hr_payroll_reports.tax_table_0
tax_table_0_081,789501,790000,1600,os_hr_payroll_reports.tax_table_0
tax_table_0_082,790001,790500,1620,os_hr_payroll_reports.tax_table_0
tax_table_0_083,790501,791000,1640,os_hr_payroll_reports.tax_table_0
tax_table_0_084,791001,791500,1660,os_hr_payroll_reports.tax_table_0
tax_table_0_085,791501,792000,1680,os_hr_payroll_reports.tax_table_0
tax_table_0_086,792001,792500,1700,os_hr_payroll_reports.tax_table_0
tax_table_0_087,792501,793000,1720,os_hr_payroll_reports.tax_table_0
tax_table_0_088,793001,793500,1740,os_hr_payroll_reports.tax_table_0
tax_table_0_089,793501,794000,1760,os_hr_payroll_reports.tax_table_0
tax_table_0_090,794001,794500,1780,os_hr_payroll_reports.tax_table_0
tax_table_0_091,794501,795000,1800,os_hr_payroll_reports.tax_table_0
tax_table_0_092,795001,795500,1820,os_hr_payroll_reports.tax_table_0
tax_table_0_093,795501,796000,1840,os_hr_payroll_reports.tax_table_0
tax_table_0_094,796001,796500,1860,os_hr_payroll_reports.tax_table_0
tax_table_0_095,796501,797000,1880,os_hr_payroll_reports.tax_table_0
tax_table_0_096,797001,797500,1900,os_hr_payroll_reports.tax_table_0
tax_table_0_097,797501,798000,1920,os_hr_payroll_reports.tax_table_0
tax_table_0_098,798001,798500,1940,os_hr_payroll_reports.tax_table_0
tax_table_0_099,798501,799000,1960,os_hr_payroll_reports.tax_table_0
tax_table_0_100,799001,799500,1980,os_hr_payroll_reports.tax_table_0
tax_table_0_101,799501,800000,2000,os_hr_payroll_reports.tax_table_0
tax_table_0_102,800001,800500,2020,os_hr_payroll_reports.tax_table_0
tax_table_0_103,800501,801000,2040,os_hr_payroll_reports.tax_table_0
tax_table_0_104,801001,801500,2060,os_hr_payroll_reports.tax_table_0
tax_table_0_105,801501,802000,2080,os_hr_payroll_reports.tax_table_0
tax_table_0_106,802001,802500,2100,os_hr_payroll_reports.tax_table_0
tax_table_0_107,802501,803000,2120,os_hr_payroll_reports.tax_table_0
tax_table_0_108,803001,803500,2140,os_hr_payroll_reports.tax_table_0
tax_table_0_109,803501,804000,2160,os_hr_payroll_reports.tax_table_0
tax_table_0_110,804001,804500,2180,os_hr_payroll_reports.tax_table_0
tax_table_0_111,804501,805000,2200,os_hr_payroll_reports.tax_table_0
tax_table_0_112,805001,805500,2220,os_hr_payroll_reports.tax_table_0
tax_table_0_113,805501,806000,2240,os_hr_payroll_reports.tax_table_0
tax_table_0_114,806001,806500,2260,os_hr_payroll_reports.tax_table_0
tax_table_0_115,806501,807000,2280,os_hr_payroll_reports.tax_table_0
tax_table_0_116,807001,807500,2300,os_hr_payroll_reports.tax_table_0
tax_table_0_117,807501,808000,2320,os_hr_payroll_reports.tax_table_0
tax_table_0_118,808001,808500,2340,os_hr_payroll_reports.tax_table_0
tax_table_0_119,808501,809000,2360,os_hr_payroll_reports.tax_table_0
tax_table_0_120,809001,809500,2380,os_hr_payroll_reports.tax_table_0
tax_table_0_121,809501,810000,2400,os_hr_payroll_reports.tax_table_0
tax_table_0_122,810001,810500,2420,os_hr_payroll_reports.tax_table_0
tax_table_0_123,810501,811000,2440,os_hr_payroll_reports.tax_table_0
tax_table_0_124,811001,811500,2460,os_hr_payroll_reports.tax_table_0
tax_table_0_125,811501,812000,2480,os_hr_payroll_reports.tax_table_0
tax_table_0_126,812001,812500,2500,os_hr_payroll_reports.tax_table_0
tax_table_0_127,812501,813000,2520,os_hr_payroll_reports.tax_table_0
tax_table_0_128,813001,813500,2540,os_hr_payroll_reports.tax_table_0
tax_table_0_129,813501,814000,2560,os_hr_payroll_reports.tax_table_0
tax_table_0_130,814001,814500,2580,os_hr_payroll_reports.tax_table_0
tax_table_0_131,814501,815000,2600,os_hr_payroll_reports.tax_table_0
tax_table_0_132,815001,815500,2620,os_hr_payroll_reports.tax_table_0
tax_table_0_133,815501,816000,2640,os_hr_payroll_reports.tax_table_0
tax_table_0_134,816001,816500,2660,os_hr_payroll_reports.tax_table_0
